MSRP;sedan;hatch;convert;minivan;miniSUV;SUV;wagon;subcom;compact;fullsize;luxury;sport;city;high;length;width;height;weight;luggage;horse;Cyl;Disp;fuel;AWD;FWD;4WD
21995;0;0;0;1;0;0;0;0;0;0;0;0;17;23;194,9;74,9;70,1;3997;32,2;170;6;3,3;20;0;1;0
23279;0;0;0;1;0;0;0;0;0;0;0;0;17;23;194,6;74,9;67,3;3984;25,3;170;6;3,3;20;0;1;0
27675;0;0;0;1;0;0;0;0;0;0;0;0;19;26;201,4;72,2;68,1;3948;24,2;185;6;3,4;25,5;0;1;0
26245;0;0;0;1;0;0;0;0;0;0;0;0;19;26;187,3;72,7;67,4;3803;19,9;185;6;3,4;20;0;1;0
24415;0;0;0;1;0;0;0;0;0;0;0;0;19;24;194,2;73,4;67,3;3919;26,6;210;6;3;20,9;0;1;0
26815;0;0;0;1;0;0;0;0;0;0;0;0;17;20;188,5;72,4;76,4;4288;20;201;6;2,8;21,1;0;1;0
14494;0;0;0;0;0;0;1;0;1;0;0;0;22;31;179;67,7;57,9;2888;19,4;129;4;2;13,7;0;1;0
17265;0;0;0;0;0;0;1;0;1;0;0;0;26;32;178,2;66,9;53,9;2759;55,8;130;4;2;13,2;0;1;0
16975;0;0;0;0;0;0;1;0;1;0;0;0;25;31;170,5;67,1;57,8;2716;19,8;130;4;2;14,5;0;1;0
18020;0;0;0;0;0;0;1;0;1;0;0;0;21;27;173,4;66,7;58,5;3045;27,9;165;4;2,5;15,9;1;0;0
14999;0;0;0;0;0;0;1;0;1;0;0;0;26;32;166,5;67,7;61;2688;14,6;141;4;2;13,2;0;1;0
14299;0;0;0;0;0;0;1;0;1;0;0;0;27;34;172,2;66,5;55,9;2403;24;122;4;1,8;12,7;0;1;0
18200;0;0;0;0;0;0;1;0;1;0;0;0;24;31;173,6;68,3;58,5;3034;34;115;4;2;14,5;0;1;0
38995;0;0;0;0;0;0;1;0;0;0;1;0;17;25;192;71,3;58,2;3924;36,4;220;6;3;18,5;1;0;0
41145;0;0;0;0;0;0;1;0;0;0;1;0;17;24;176,7;68,2;54,9;3814;31,3;250;6;2,7;16,4;1;0;0
61445;0;0;0;0;0;0;1;0;0;0;1;0;14;21;193,4;76,1;57;4024;36,4;340;8;4,2;21,7;1;0;0
40545;0;0;0;0;0;0;1;0;0;0;1;0;16;21;189,4;76,1;60,1;4167;36,4;250;6;2,7;18,5;1;0;0
30145;0;0;0;0;0;0;1;0;0;0;1;0;20;29;176,3;68,5;55,5;3362;25,7;184;6;2,5;16,6;0;0;0
38395;0;0;0;0;0;0;1;0;0;0;1;0;19;27;189,2;70,9;56,7;3682;32,7;184;6;2,5;18,5;0;0;0
31350;0;0;0;0;0;0;1;0;0;0;1;0;18;25;177;67,9;56,7;3410;21,8;215;6;3;17,5;0;0;0
39115;0;0;0;0;0;0;1;0;0;0;1;0;19;25;178,9;68;56,7;3495;25,2;215;6;3,2;16,4;0;0;0
49915;0;0;0;0;0;0;1;0;0;0;1;0;20;27;190;70,8;59,3;3856;43,8;221;6;3,2;18,5;0;0;0
35320;0;0;0;0;0;0;1;0;0;0;1;0;22;30;190,1;70,5;57;3620;37;185;4;2,3;18,5;0;1;0
25525;0;0;0;0;0;0;1;0;0;0;1;0;22;30;180,2;67,6;56;2822;33,5;160;4;1,9;15,9;0;1;0
30650;0;0;0;0;0;0;1;0;0;0;1;0;21;28;185,4;71;58,7;3488;37,5;168;5;2,4;21,1;0;1;0
37125;0;0;0;0;0;0;1;0;0;0;1;0;18;22;186,3;73,2;61,5;3699;37,5;197;5;2,4;18,5;1;0;0
23395;0;0;0;0;0;0;1;0;0;0;0;0;21;29;168,8;67,1;63;3123;19;150;4;2,4;15;0;1;0
21840;0;0;0;0;0;0;1;0;0;0;0;0;20;26;197,7;73;57,8;3532;17;155;6;3;18;0;1;0
22080;0;0;0;0;0;0;1;0;0;0;0;0;20;26;197,8;73;57,8;3501;38,8;157;6;3;18;0;1;0
19880;0;0;0;0;0;0;1;0;0;0;0;0;24;32;190,4;68,5;57,3;3070;33,5;135;4;2,2;15,7;0;1;0
20820;0;0;0;0;0;0;1;0;0;0;0;0;21;27;175,6;68,3;65;3140;32;165;4;2,5;15,9;1;0;0
24320;0;0;0;0;0;0;1;0;0;0;0;0;21;27;187,4;68,7;59,6;3450;34,3;165;4;2,5;16,9;1;0;0
30020;0;0;0;0;0;0;1;0;0;0;0;0;20;26;187,4;68,7;63,3;3715;34,3;212;6;3;16,9;1;0;0
23100;0;0;0;0;0;0;1;0;0;0;0;0;22;31;184,3;68,7;59;3322;39;170;4;1,8;16,4;0;1;0
21310;0;0;0;0;1;0;0;0;0;0;0;0;19;21;162,6;67,3;65,6;2866;20,2;155;6;2,5;16,9;0;0;0
20795;0;0;0;0;1;0;0;0;0;0;0;0;19;24;173;70,1;69,1;3247;33;201;6;3;16;0;1;0
21960;0;0;0;0;1;0;0;0;0;0;0;0;21;25;178,6;70,2;66,2;3347;33,5;160;4;2,4;15,3;1;0;0
21594;0;0;0;0;1;0;0;0;0;0;0;0;19;23;177,2;72,6;65,9;3720;29,4;181;6;2,7;17,2;1;0;0
16985;0;0;0;0;1;0;0;0;0;0;0;0;19;23;170,3;70,4;67,1;3551;20,1;130;4;2,2;15,6;0;0;0
15140;0;0;0;0;1;0;0;0;0;0;0;0;18;21;156,4;68,1;65;3108;13;130;4;2;15,8;0;0;0
18695;0;0;0;0;1;0;0;0;0;0;0;0;23;27;173;70,8;69,3;3091;33,1;130;4;2;15,3;0;1;0
16835;0;0;0;0;1;0;0;0;0;0;0;0;23;28;181,3;71,5;66,5;3172;30,3;143;4;2,2;15,5;0;1;0
19099;0;0;0;0;1;0;0;0;0;0;0;0;19;22;164,5;70,1;67,3;3152;21;165;6;2,5;14,8;0;0;0
18699;0;0;0;0;1;0;0;0;0;0;0;0;22;25;163;67,3;65,8;3053;21;127;4;2;16,9;0;0;1
17035;0;0;0;0;1;0;0;0;0;0;0;0;25;31;166,2;68,3;65,7;2711;29,2;148;4;2;14,7;0;1;0
